msoa_code,msoa_name,lad_code,lad_name,city,review_count,avg_sentiment_score,pct_negative,pct_neutral,pct_positive,sample_reviews
E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,london,65,0.7552,6.15,1.54,92.31,"Kay was money hungry and disingenuous and unprofessional.<br/>Just 1 hour before I was due to check in, he stated that he needed to call me to speak or I would not be able to check in. During the call | We truly enjoyed my stay Brenda’s  place. Apartment looked exactly like the photos, but felt even more spacious in person. It had everything I needed, was spotlessly clean, and fresh. Communication wi | Eva’s place is exactly as in the pictures. Location and transportation are great. There are local shops around for groceries. I would recommend for short and long stay."
E02000024,Barnet 001,E09000003,Barnet,london,61,0.8168,1.6400000000000001,0.0,98.36,"While the place was as described I would not recommend staying here because of the dirt and dust. Overall the place did not feel clean let alone professionally cleaned. There were stains on the floor, | I recently had the pleasure of staying at Kenny's Airbnb during my trip to London, and I cannot recommend it highly enough! From start to finish, my experience was exceptional.<br/>Kenny, the host, wa | Had a great stay. Very clear check in details on arrival. <br/>Thank you!"
E02000025,Barnet 002,E09000003,Barnet,london,29,0.885,0.0,0.0,100.0,"The travel connections to central London are excellent, the property and equipment are a little tired and in need of maintenance | Monique is hands down one of the best hosts in London. Very friendly, communicative, helpful and also allows guests their own space and independence too. She will go the extra mile to ensure that your | Lovely welcome, lovely room and nothing was too much trouble, thank you."
E02000026,Barnet 003,E09000003,Barnet,london,4,0.8601,0.0,0.0,100.0,"A very nice place, well equipped and immaculately clean. We loved the lounge area particularly. There was a tiny bit of noise from the adjoining main house. In particular, the phone rang quite early,  | we had a great stay at Naomi's place, a very very nice house which made us feel at home directly.<br/>Naomi is a great host, very easy to communicate, very kind, with a lovely welcome present  and ver | Great location, spotless place. Responsive and very helpful host. Always available and flexible. Highly recommended."
E02000026,Barnet 003,E09000010,Enfield,london,1,0.9612,0.0,0.0,100.0,"A very nice place, well equipped and immaculately clean. We loved the lounge area particularly. There was a tiny bit of noise from the adjoining main house. In particular, the phone rang quite early,  | we had a great stay at Naomi's place, a very very nice house which made us feel at home directly.<br/>Naomi is a great host, very easy to communicate, very kind, with a lovely welcome present  and ver | Great location, spotless place. Responsive and very helpful host. Always available and flexible. Highly recommended."
E02000027,Barnet 004,E09000003,Barnet,london,35,0.7861,2.86,5.71,91.43,"booked 3 nights, rebooked to stay another 2 weeks consecutively. attentive hosts. expect to buy all consumables like liquid soap/kitchen/bathroom supplies. Some of the equipment in the kitchen didn't  | I had the pleasure of spending the winter in this wonderful apartment and I couldn't have asked for a better experience. <br/>The apartment truly has everything a family might need, from a fully equip | Responsive and reliable host, provided majority of the amenities needed for a long stay. Quiet neighbourhood and short walk from the station. <br/>Property has cctv for added security, although being "
E02000028,Barnet 005,E09000003,Barnet,london,48,0.714,6.25,2.08,91.67,"We were very disappointed at the room. It was not as advertised, much smaller and not clean. Shower had previous guests razors and gels still in there, floor was dirty, awful smell from sewers and bed | Inan was an amazing host with great response time and always super helpful! The location was perfect with links to London and surrounding areas as well as a good high street to pick up food and drink. | Lovely small studio, perfect for a short visit. Only drawbacks however was the lack of rubbish bin within the kitchen and bathroom bin was full from previous occupant. Flat had everything that was adv"
E02000029,Barnet 006,E09000003,Barnet,london,39,0.8643,0.0,0.0,100.0,"Thank you.  Very convenient location for visiting family and sightseeing in London | I had a really lovely overnight stay. Tom was fantastic. He was very kind, and wonderful host. He was lovely company. <br/>The space was spotlessly clean and charming. He explained everything so clear | Wonderful warm hosts, private room right by the front door for easy access. Everything you could ever need including emergency toiletries and towels. Very hospitable and couldn’t do enough for me. Wou"
E02000030,Barnet 007,E09000003,Barnet,london,36,0.8051,0.0,2.78,97.22,"There was heavy rainfall overnight and the tin roof of the bedroom made sleeping difficult.  Would recommend earplugs if rain expected. | Chryso is great, friendly, flexible, always there for the guests, very sweet, always supportive.<br/>Never hesitate to book this place.<br/>You will love the reception, hospitality, very peaceful envi | Cosy well equipped room. Lots of thought has gone into it with homely, tasteful touches.  Soft drinks and breads much appreciated.  Very clean including the shower room."
E02000031,Barnet 008,E09000003,Barnet,london,33,0.8136,3.0300000000000002,0.0,96.97,"I had a very uncomfortable experience with the host. And I try to believe they r good people and will return the mistakenly charged Money to us, but they canceled my request and are unwilling to pay b | I had a fantastic stay in this flat and highly recommend it. The space was clean, comfortable, and beautifully decorated, with all the necessary amenities thoughtfully provided. The location was perfe | Great place for a family with kids. Thanks for hosting us, Osnat."
E02000032,Barnet 009,E09000003,Barnet,london,74,0.8281,2.7,1.35,95.95,"Not the best location. People were singing at midnight, even at 2-3 AM—super weird. The place felt chaotic: random tenants handled check-in (not the host), instructions were unclear, and someone was v | I had a wonderful stay here! The room was exactly as pictured, exceptionally clean, and very comfortable. The property itself is beautiful with a lovely garden that was perfect for relaxing outside. T | It is a very nice, neat and clean space with all facility avaialble."
E02000033,Barnet 010,E09000003,Barnet,london,31,0.8318,3.2300000000000004,0.0,96.77,"Tracy was very accomodating, nothing was too much trouble. Would recommend | I spent over a month at Agatha's house. It was a very pleasant stay, the best I could have asked for as a newcomer to London. The location has great connectivity, with places nearby for shopping or ea | Agatha’s place was so nice! I stayed for a little over three months and felt very safe. If I ever needed anything Agatha was always quick to respond. She was an incredible host. I would highly recomme"
E02000034,Barnet 011,E09000003,Barnet,london,36,0.8616,0.0,2.78,97.22,"The place was spacious with all required amenities. But the heating only worked on day 1 and didn't work on the next 5 days. The host was slow to respond. | We loved our stay at Kyri's place! The location is outstanding, the apartment is spotless clean and comfortable and, so well put together, and has absolutely everything you need for a fantastic, comfo | The place is really good. The room is a good size and has everything you need. You have big shops very close. Thank you!!"
E02000035,Barnet 012,E09000003,Barnet,london,88,0.8365,1.1400000000000001,1.1400000000000001,97.72999999999999,"Had to check out early<br/>Very slow response from host- Response at the end of the day hours after message was sent.<br/>No Wi-Fi despite moving the router near the window, had to find somewhere else | 1. The pre-stay interactions were helpful and constructive. Very professional. <br/>2. The initial posting clearly stated that parking was free, which was a big draw for us…but after booking, I receiv | Samir’s apartment is spacious, great outdoor space, lovely outlook over trees, walking distance both to high street and  tube,  and one of the few air bnb’s that have a washing machine and a clothes a"
E02000036,Barnet 013,E09000003,Barnet,london,92,0.7547,3.26,3.26,93.47999999999999,"Dolly was accommodating if requests were made on our behalf which was nice to have during our stay. She was very understanding of me traveling with 2 littles. The home was spacious enough for our fami | All I can say is if you need a place to stay in London Nisha has a great place to stay I can with my son to watch the cup final she gave me an upgrade on our room to a room with a big football on whic | I enjoyed my stay , good location for Wembley would stay again."
E02000037,Barnet 014,E09000003,Barnet,london,52,0.7849,3.85,0.0,96.15,"DO NOT USE THIS HOST!!!! <br/>WARNING!<br/>They cancelled my trip on the morning of my stay and then never officially cancelled it or refunded my money.<br/>They then haven’t responded to my messages  | Lovely, cosy flat and great host! We stayed for 2 nights to attend the Oasis concert at Wembley. Flat is straight off the M1 and easy to get to. Parking available and straight forward entry instructio | Clear and helpful instructions from the host. Thank you for hosting us, would stay again."
E02000038,Barnet 015,E09000003,Barnet,london,70,0.8307,1.43,0.0,98.57000000000001,"No working light switch or light bulbs in the double bedroom.<br/>Smelt of cigarettes throughout the home.<br/>Toilet had not been cleaned properly as had lime scale in there<br/>TV language was set i | ⭐️⭐️⭐️⭐️⭐️ 5/5 — Cozy room and warm hospitality from Christos<br/>We had a wonderful stay in London! We booked a private room in Christos’s home in North London and were very pleased with everything.  | What stood out to me about this apartment was the bathroom. It was clean, recently redone. And the communication from Yohannah was great. We struggled to find parking. And she helped us move our van t"
E02000039,Barnet 016,E09000003,Barnet,london,70,0.734,7.140000000000001,1.43,91.43,"Here’s a concise and impactful version of your review:<br/>⸻<br/>The host is not reliable and should not be trusted. I had to cancel due to a family tragedy, and she promised to refund me privately—as | We had an amazing stay at the place.The host was attentive and made us feel welcome from the moment we arrived. The house is maintained well with high quality appliances that made everything from cook | Exactly as described, clean, very friendly host"
E02000040,Barnet 017,E09000003,Barnet,london,104,0.8498,0.0,1.92,98.08,"Newly refurbished. Beds comfy. | Evelina was the perfect host. I’m so impressed - and it looked just like the pictures! Her place was charming, super clean and very well organised. She had lots of recommendations, was friendly and ha | A great stay and a great host."
E02000041,Barnet 018,E09000003,Barnet,london,106,0.7203,4.72,1.8900000000000001,93.4,"First I need to say that I was scammed from another Airbnb and left in the middle of London with two little kids ,and this place was my second choice last minute.<br/>I was so tired after flying from  | My Sister in law and I had a great stay in London and Olivia’s small but very lovely studio was perfect for our stay. Yes, it’s small but has everything you need, it’s beautifully decorated and it has | Clean and comfortable"
E02000042,Barnet 019,E09000003,Barnet,london,113,0.8473,0.88,0.88,98.22999999999999,"I was stay here 6 days. It was pleasant.1st night I found bed bug and getting problem WiFi.until 6 days I face problem in the WiFi.others are perfectly ok.thanks to every team person. | Valentine embodies all the qualities of a super host - super accommodating, super thoughtful, and super responsive. <br/>The check in process was straightforward and seamless, and I loved the keyless  | Had no issues at all - Serafina’s hospitality was fantastic. Would highly recommend this place. Cosy & perfect for a couple!"
E02000043,Barnet 020,E09000003,Barnet,london,28,0.8382,3.5700000000000003,0.0,96.43,"The house and the location were very good. Ollie also was quick to respond most of the time. Unfortunately for us he was travelling when we visited and his response was delayed on the first day we got | Our family loved staying at Anja’s home! The location is perfect, very close to the tube station, and she even came to meet us when we arrived late at night. She is very kind and friendly.<br/>Her hom | A beautiful spacious property. Parking space for one car and on street parking but a little difficult if more than one car. <br/>Very comfortable beds, clean good linen and towels. Well fenced in safe"
E02000044,Barnet 021,E09000003,Barnet,london,61,0.7194,6.5600000000000005,3.2800000000000002,90.16,"I stayed in both the attic room and the double room. Unfortunately the electric stairs leading to the attic broke off from the wall and I came tumbling down 2 meters and hit my head and my back on the | I really appreciated the ease and comfort of this stay. The space has a gentle, welcoming feel—comfortable and easy to settle into. The kitchen being accessible was a great feature; everything I neede | Perfect stay, fast responses, would recommend"
E02000045,Barnet 022,E09000003,Barnet,london,114,0.8257,0.0,1.7500000000000002,98.25,"There was no full length mirror and so getting ready was extremely difficult as the bathroom mirror is so high and the vanity provided you can’t get real distance from to check yourself out especially | Pretty nice accommodation cost to the quality shops and charming atmosphere of Muswell Hill Broadway, the lovely Alexandra Palace, and more. A bus stop less than a minute walk where you can catch buse | Tatiana is a very attentive and amazing host.<br/>My son felt very comfortable and at home"
E02000046,Barnet 023,E09000003,Barnet,london,93,0.8603,0.0,2.15,97.85000000000001,"A+ would visit again | It was such a wonderful top-notch experience for us, from booking to our stay - everything is perfect.  We had really great time during our stay!<br/>Claudia is a super host, she is very responsive, h | Lovely place enjoyed the stay. Would 100%  recommend for a short stay"
E02000047,Barnet 024,E09000003,Barnet,london,67,0.7886,1.49,4.4799999999999995,94.03,"Place is ok , quiet, and nice but full of restrictions .<br/>No access to kitchen , not friendly environment. You need to leave the shoes downstairs with no comfort to put them on .<br/>Lots of do's a | Samia and her husband were great hosts, friendly to chat with and really helpful. <br/>This property is a hidden gem! When we first arrived we were a little unsure how to get in but our hosts were the | Ladi was a great host. Very responsive and the flat was exactly what we needed."
E02000048,Barnet 025,E09000003,Barnet,london,101,0.8165,3.9600000000000004,0.0,96.04,"One of my worst stays ever. The second bedroom cannot sleep 2 people, it is very small and makes a terrible noise any time you move. The towels are only big, not small, there is no hairdryer. There ar | We had such a wonderful stay and are incredibly thankful to our amazing hosts. From the moment we arrived, they made us feel truly welcome and cared for. Nothing was ever too much trouble — they went  | A clean apartament, big enough, host very communicative, a quiet area.<br/>I recommend to everyone, and I hope to return to Milana!"
E02000049,Barnet 026,E09000003,Barnet,london,56,0.8636,1.79,0.0,98.21,"Unfortunately James took our money on an instant booking but didn't respond to any of the messages that I sent. He sent no instructions to access the property and we had to involve Airbnb support. He  | Beautiful apartment, in a great location, very safe secure. Very clean and has everything you might need for a comfortable stay.<br/>Celine and David are wonderful hosts, very helpful and gave us some | Maria was an excellent host and the room  and flat was clean, quiet and comfortable."
E02000050,Barnet 027,E09000003,Barnet,london,73,0.8093,2.74,0.0,97.26,"Nathan has canceled the booking just before we were supposed to checkin and while we were on road. Had been communicating with him a week before the checkin and got the confirmation that everything is | I had the most wonderful stay thanks to Michael, an exceptional host who truly made my trip unforgettable! From the moment I arrived, his kind and welcoming nature put me at ease. Michael provided gre | Josie is a very nice and responsible host. We felt just like at home!!"
E02000051,Barnet 028,E09000003,Barnet,london,96,0.8155,2.08,2.08,95.83,We moved out with 2 hours of being there despite booking for 3 weeks.<br/>This property should be delisted. The apartment complex manager advised that it was against the Body Corporate rules to use th | Wow wow wow! What a great find! Ana’s place is truly amazing.  It is furnished with everything you need and looks exactly like the pictures on the listing.  Lovely welcome ‘Thank you’ card along with  | I had a lovely stay at Rory’s place !! It qas very nice
