lad_code,lad_name,total_listings,avg_nightly_price,median_nightly_price,avg_review_score,avg_availability_365,gp_surgery_count,gps_per_100000_people,total_parks_count,parks_per_100000_people,city,median_house_price_2025_lad,median_monthly_rent,str_annual_revenue_est,str_gross_yield,ltr_annual_revenue_est,ltr_gross_yield,str_vs_ltr_yield_delta
E09000011,Greenwich,1338,153.4,113.0,4.7,229.9,38.0,12.920204162597656,144.0,48.96077346801758,london,450000.0,1949.0,26809.0,0.0596,23388.0,0.052,0.0076
E09000006,Bromley,672,128.67,88.0,4.77,244.6,48.0,14.494416236877441,154.0,46.5029182434082,london,513750.0,1673.0,20878.0,0.0406,20076.0,0.0391,0.0015
E09000013,Hammersmith and Fulham,2667,199.17,144.0,4.67,204.6,27.0,14.502406120300293,96.0,51.564109802246094,london,682232.5,2755.0,34164.0,0.0501,33060.0,0.0485,0.0016
E09000030,Tower Hamlets,4280,430.69,127.0,4.61,205.6,33.0,10.041810035705566,238.0,72.4227523803711,london,474800.0,2410.0,30131.0,0.0635,28920.0,0.0609,0.0026
E09000033,Westminster,8427,343.36,220.0,4.6,212.5,41.0,19.38460922241211,97.0,45.861148834228516,london,820000.0,3149.0,52195.0,0.0637,37788.0,0.0461,0.0176
E09000007,Camden,4336,216.45,160.0,4.62,207.0,34.0,15.39137077331543,153.0,69.26116943359375,london,763000.0,2724.0,37960.0,0.0498,32688.0,0.0428,0.007
E09000003,Barnet,1731,138.71,107.0,4.66,230.6,52.0,13.164323806762695,123.0,31.138689041137695,london,590000.0,1931.0,25386.0,0.043,23172.0,0.0393,0.0037
E09000027,Richmond upon Thames,810,184.17,130.5,4.82,206.3,29.0,14.832773208618164,142.0,72.62944030761719,london,717750.0,2307.0,30961.0,0.0431,27684.0,0.0386,0.0045
E09000032,Wandsworth,3013,198.53,140.0,4.77,208.7,47.0,14.179861068725586,139.0,41.93618392944336,london,626499.5,2599.0,33215.0,0.053,31188.0,0.0498,0.0032
E09000024,Merton,967,148.28,110.0,4.78,220.2,21.0,9.757502555847168,99.0,45.999656677246094,london,538325.0,2097.0,26098.0,0.0485,25164.0,0.0467,0.0018
E09000018,Hounslow,899,149.74,98.0,4.72,228.4,43.0,14.541470527648926,158.0,53.43144989013672,london,492500.0,1922.0,23250.0,0.0472,23064.0,0.0468,0.0004
E09000026,Redbridge,728,128.38,78.0,4.61,261.4,45.0,14.359013557434082,76.0,24.250778198242188,london,513500.0,1724.0,18506.0,0.036,20688.0,0.0403,-0.0043
E09000021,Kingston upon Thames,485,138.43,100.0,4.77,225.6,20.0,11.733370780944824,69.0,40.48012924194336,london,608250.0,1799.0,23725.0,0.039,21588.0,0.0355,0.0035
E09000016,Havering,430,152.42,83.0,4.55,261.7,37.0,13.798504829406738,119.0,44.37897491455078,london,449375.0,1565.0,19692.0,0.0438,18780.0,0.0418,0.002
E09000015,Harrow,465,109.47,76.0,4.66,240.8,32.0,12.14660930633545,73.0,27.709453582763672,london,550000.0,1755.0,18031.0,0.0328,21060.0,0.0383,-0.0055
E09000031,Waltham Forest,1198,117.17,92.0,4.74,211.0,39.0,14.13145923614502,99.0,35.87216567993164,london,541250.0,1758.0,21827.0,0.0403,21096.0,0.039,0.0013
E09000001,City of London,434,356.66,252.0,4.57,258.4,,,12.0,89.13980102539062,london,716250.0,,59787.0,0.0835,,,
E09000004,Bexley,495,119.71,70.0,4.72,268.2,28.0,11.16191577911377,91.0,36.27622604370117,london,432500.0,1525.0,16608.0,0.0384,18300.0,0.0423,-0.0039
E08000006,Salford,1260,109.6,94.0,4.65,240.4,45.0,15.83915901184082,123.0,43.293701171875,manchester,225375.0,1162.0,22302.0,0.099,13944.0,0.0619,0.0371
E08000001,Bolton,192,77.55,68.5,4.72,251.7,54.0,17.85814666748047,154.0,50.92878723144531,manchester,190000.0,882.0,16252.0,0.0855,10584.0,0.0557,0.0298
E08000010,Wigan,243,135.53,79.0,4.7,258.0,59.0,17.395200729370117,217.0,63.97896194458008,manchester,188500.0,737.0,18743.0,0.0994,8844.0,0.0469,0.0525
E08000008,Tameside,255,261.38,71.0,4.62,262.7,34.0,14.488677978515625,94.0,40.05693054199219,manchester,203750.0,919.0,16845.0,0.0827,11028.0,0.0541,0.0286
E08000002,Bury,198,114.35,87.0,4.78,262.7,34.0,17.39344024658203,108.0,55.24974822998047,manchester,248000.0,966.0,20641.0,0.0832,11592.0,0.0467,0.0365
E08000009,Trafford,646,140.79,86.0,4.73,238.5,28.0,11.79046630859375,135.0,56.846893310546875,manchester,369975.0,1359.0,20404.0,0.0551,16308.0,0.0441,0.011
E08000005,Rochdale,149,236.3,68.0,4.69,259.9,38.0,16.53928565979004,137.0,59.628475189208984,manchester,191000.0,827.0,16133.0,0.0845,9924.0,0.052,0.0325
E08000007,Stockport,398,211.64,86.0,4.81,242.1,42.0,14.021265983581543,253.0,84.46143341064453,manchester,322250.0,1095.0,20404.0,0.0633,13140.0,0.0408,0.0225
E08000004,Oldham,271,214.99,89.0,4.71,270.4,37.0,15.032706260681152,126.0,51.19245910644531,manchester,196999.0,915.0,21115.0,0.1072,10980.0,0.0557,0.0515
E08000003,Manchester,2950,115.09,97.0,4.65,231.6,81.0,13.96751594543457,198.0,34.142818450927734,manchester,231000.0,1349.0,23013.0,0.0996,16188.0,0.0701,0.0295
S12000036,City of Edinburgh,4925,300.52,160.0,4.78,165.5,,,,,edinburgh,,,37960.0,,,,
E06000023,"Bristol, City of",2203,136.11,98.0,4.75,214.1,47.0,9.730889320373535,219.0,45.34180450439453,bristol,350000.0,1885.0,23250.0,0.0664,22620.0,0.0646,0.0018
